riesgo_laboral,EDAD,SEXO,NIVEL_EDUCATIVO,EXPERIENCIA_MESES,ESTRATO,ZONA,REGION,ESTADO_CIVIL,JEFATURA_HOGAR
,21,1,5,,1.0,2,73,6,9
,16,2,4,,2.0,2,73,6,3
1.0,17,2,5,,2.0,2,73,6,3
,15,2,4,,1.0,2,73,6,3
,22,2,5,,1.0,2,73,6,3
,27,2,5,,1.0,2,73,2,2
1.0,24,1,5,12.0,2.0,1,73,2,1
0.0,19,2,10,3.0,2.0,1,73,2,2
,16,1,5,,2.0,1,73,6,3
,17,1,6,,2.0,1,73,6,3
,16,2,4,,2.0,1,73,6,3
1.0,25,1,9,12.0,2.0,1,73,4,3
,18,1,10,,2.0,1,73,6,3
,16,1,5,,2.0,1,73,6,3
1.0,22,2,5,,2.0,1,73,6,3
,18,1,5,,2.0,1,73,6,3
1.0,28,1,5,12.0,2.0,1,73,6,3
,16,1,5,,2.0,1,73,6,3
,16,1,4,,1.0,2,73,6,3
0.0,25,1,5,12.0,2.0,2,73,6,3
1.0,15,1,3,12.0,2.0,2,73,6,3
1.0,27,1,5,12.0,2.0,2,73,6,3
,15,1,5,12.0,2.0,2,73,6,3
,17,1,4,,1.0,2,73,6,8
1.0,17,1,5,12.0,2.0,2,73,6,3
0.0,22,2,10,1.0,2.0,1,66,6,3
1.0,23,2,10,4.0,2.0,1,66,6,3
,28,2,5,,2.0,1,66,1,1
,23,2,5,,2.0,1,66,6,8
,24,2,9,,2.0,1,66,2,1
,25,1,10,,2.0,1,66,6,3
0.0,26,1,8,12.0,2.0,1,66,6,3
,16,1,8,,2.0,1,66,6,8
1.0,23,2,11,9.0,3.0,1,66,6,3
0.0,27,2,9,12.0,2.0,1,66,1,1
,18,2,10,,3.0,1,66,6,3
,21,2,10,,2.0,1,66,6,3
,27,2,4,4.0,1.0,2,66,2,1
1.0,21,1,5,12.0,1.0,2,66,6,9
1.0,16,2,5,,1.0,2,66,6,8
1.0,27,1,3,12.0,3.0,1,66,6,8
